Country,Capital
Albania,Tirana
Andorra,Andorra la Vella
Austria,Vienna
Belarus,Minsk
Belgium,Brussels
Bosnia and Herzegovina,Sarajevo
Bulgaria,Sofia
Croatia,Zagreb
Cyprus***,Lefkosia (Nicosia)
Czech Republic,Prague
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Paris
Germany,Berlin
Greece,Athens
Hungary,Budapest
Iceland,Reykjavik
Ireland,Dublin
Italy,Rome
Latvia,Riga
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Former Yugoslav Republic of Macedonia,Skopje
Malta,Valtetta
Moldova,Chisinau
Monaco,Monaco
"Montenegro
(Serbia and Montenegro)",Podgorica
"(the) Netherlands/
Holland","Amsterdam (official),
The Hague (administrative capital)"
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucarest
Russia,Moscow
San Marino,San Marino
"Serbia
(Serbia and Montenegro)",Belgrade
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Bern
"Turkey
(European part)",Ankara
Ukraine,Kiev
United Kingdom of Great Britain and Northern Ireland,London
Vatikan City,Vatikan City
